Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,Salary Count,Average Salary
197,Kelly Oubre Jr.,PHI,"$7,983,000","$8,382,150",,,,,7983000,2,3991500.0
198,Jaden Ivey,DET,"$7,977,240","$10,107,163",,,,,18084403,2,9042201.5
199,KJ Martin,UTA,"$7,975,000","$8,025,000",,,,,7975000,2,3987500.0
200,Vasilije Micić,PHO,"$7,723,000","$8,109,150",,,,,7723000,2,3861500.0
201,Simone Fontecchio,DET,"$7,692,308","$8,307,692",,,,,16000000,2,8000000.0
202,Jonathan Kuminga,GSW,"$7,636,307",,,,,,7636307,1,7636307.0
203,Anthony Black,ORL,"$7,607,760","$7,970,280","$10,106,316",,,,15578040,3,5192680.0
204,Jae'Sean Tate,HOU,"$7,565,217",,,,,,7565217,1,7565217.0
205,Gary Harris,ORL,"$7,500,000","$7,500,000",,,,,7500000,2,3750000.0
206,Tidjane Salaün,CHO,"$7,488,720","$7,863,240","$8,237,880","$10,445,633",,,15351960,4,3837990.0
207,Bennedict Mathurin,IND,"$7,245,720","$9,187,573",,,,,16433293,2,8216646.5
208,Max Christie,DAL,"$7,142,857","$7,714,286","$8,285,714","$8,857,143",,,23142857,4,5785714.25
209,Franz Wagner,ORL,"$7,007,092","$38,661,750","$41,754,690","$44,847,630","$47,940,570","$51,033,510",231245242,6,38540873.666666664
210,Ayo Dosunmu,CHI,"$7,000,000","$7,518,518",,,,,14518518,2,7259259.0
211,Bilal Coulibaly,WAS,"$6,945,240","$7,275,600","$9,240,012",,,,14220840,3,4740280.0
212,Donovan Clingan,POR,"$6,836,400","$7,178,400","$7,519,920","$9,550,298",,,14014800,4,3503700.0
213,Payton Pritchard,BOS,"$6,696,429","$7,232,143","$7,767,857","$8,303,571",,,30000000,4,7500000.0
214,Kenrich Williams,OKC,"$6,669,000","$7,163,000","$7,163,000",,,,13832000,3,4610666.666666667
215,Shaedon Sharpe,POR,"$6,614,160","$8,399,983",,,,,15014143,2,7507071.5
216,Jevon Carter,CHI,"$6,500,000","$6,809,524",,,,,6500000,2,3250000.0
217,Davion Mitchell,MIA,"$6,451,077",,,,,,6451077,1,6451077.0
218,Saddiq Bey,WAS,"$6,440,678","$6,118,644","$6,440,678",,,,19000000,3,6333333.333333333
219,Jarace Walker,IND,"$6,362,520","$6,665,520","$8,478,542",,,,13028040,3,4342680.0
220,Rob Dillingham,MIN,"$6,262,920","$6,576,120","$6,889,320","$8,763,216",,,12839040,4,3209760.0
221,Dean Wade,CLE,"$6,166,667","$6,623,456",,,,,6166667,2,3083333.5
222,John Konchar,MEM,"$6,165,000","$6,165,000","$6,165,000",,,,18495000,3,6165000.0
223,Ziaire Williams,BRK,"$6,133,005",,,,,,6133005,1,6133005.0
224,Dyson Daniels,ATL,"$6,059,520","$7,707,709",,,,,13767229,2,6883614.5
225,Precious Achiuwa,NYK,"$6,000,000",,,,,,6000000,1,6000000.0
226,Malik Beasley,DET,"$6,000,000",,,,,,6000000,1,6000000.0
227,Chris Duarte,CHI,"$5,893,768",,,,,,5893768,1,5893768.0
228,Taylor Hendricks,UTA,"$5,848,680","$6,127,080","$7,805,900",,,,11975760,3,3991920.0
229,Moses Moody,GSW,"$5,803,269","$11,574,075","$12,500,000","$13,425,925",,,43303269,4,10825817.25
230,Zach Edey,MEM,"$5,756,880","$6,045,000","$6,332,760","$8,067,937",,,11801880,4,2950470.0
231,Corey Kispert,WAS,"$5,705,887","$13,975,000","$13,975,000","$13,050,000","$13,050,000",,46705887,5,9341177.4
232,Jeremy Sochan,SAS,"$5,570,040","$7,096,231",,,,,12666271,2,6333135.5
233,Cason Wallace,OKC,"$5,555,880","$5,820,240","$7,420,806",,,,11376120,3,3792040.0
234,Cody Williams,UTA,"$5,469,120","$5,742,480","$6,015,600","$7,669,890",,,11211600,4,2802900.0
235,Alperen Şengün,HOU,"$5,424,654","$33,944,954","$35,642,202","$37,339,450","$39,036,697","$39,036,697",151387957,6,25231326.166666668
236,Johnny Davis,MEM,"$5,291,160",,,,,,5291160,1,5291160.0
237,Jett Howard,ORL,"$5,278,320","$5,529,720","$7,337,939",,,,10808040,3,3602680.0
238,Dāvis Bertāns,CHO,"$5,250,000",,,,,,5250000,1,5250000.0
239,Haywood Highsmith,MIA,"$5,200,000","$5,616,000",,,,,10816000,2,5408000.0
240,Matas Buzelis,CHI,"$5,195,520","$5,455,560","$5,715,360","$7,584,283",,,10651080,4,2662770.0
241,Kris Dunn,LAC,"$5,168,000","$5,426,400","$5,684,800",,,,10594400,3,3531466.6666666665
242,Dario Šarić,DEN,"$5,168,000","$5,426,400",,,,,5168000,2,2584000.0
